, Nom gare ,route,Long,Latt
0,MONTPELLIER,A0009,3.832152851175532,43.56321197997598
1,SETE,A0009,3.683459688948031,43.48122735717297
2,AGDE,A0009,3.4158808248192942,43.37686025015689
3,BEZIERS CABRIALS (SORTIE),A0075,3.2885692228136043,43.34325721988552
4,BEZIERS OUEST,A0009,3.2229492234270127,43.303664399696856
5,NARBONNE EST,A0009,3.034479741724844,43.17658759196942
6,NARBONNE SUD,A0009,2.9938759616687687,43.16306781794761
7,SIGEAN,A0009,2.952680247507517,43.0332474463411
8,LEUCATE,A0009,2.9698643577185457,42.939079715493854
9,PERPIGNAN NORD,A0009,2.895039492321414,42.78280442962278
10,PERPIGNAN SUD,A0009,2.8613664204239813,42.6641690342507
11,BOULOU (FERME),A0009,2.8198963845755936,42.525251300451046
12,LE PERTHUS-LE BOULOU,A0009,2.8213287503769697,42.52788008574575
13,LEZIGNAN,A0061,2.741912270324747,43.16889563758959
14,CARCASSONNE EST,A0061,2.419899809802155,43.19460642505632
15,CARCASSONNE OUEST,A0061,2.3034122460909554,43.19487648956189
16,BRAM,A0061,2.09738726301439,43.23639382092865
17,CASTELNAUDARY,A0061,1.9450172595926865,43.28841170379598
18,VILLEFRANCHE DE LAURAGAIS,A0061,1.6933276863029991,43.39605815569464
19,NAILLOUX,A0066,1.6219986708071874,43.38569743065549
20,MAZERES,A0066,1.6411430845593658,43.235204658744216
21,PAMIER,A0066,1.615724429570182,43.1541647182438
22,TOULOUSE SUD-OUEST (SORTIE),A0061,1.5000987998641888,43.54589357000138
