 Nom gare ,route,x,y
ROQUEMAURE,A0009,839239.21,6326352.07
REMOULINS,A0009,828497.32,6316390.1
NIMES EST,A0009,814536.03,6307235.03
NeMES OUEST,A0009,808400.76,6302214.95
MONTPELLIER,A0009,795206.11,6292678.38
GALLARGUES FERMe,A0009,795046.6,6292622.39
GALLARGUES OUVERT,A0009,795046.6,6292622.39
LUNEL,A0009,790247.17,6290215.33
MONTPELLIER,A0009,767254.1,6274148.51
SETE                                    ,A0009,755316.01,6264921.23
AGDE,A0009,733720.8,6253169.83
BEZIERS OUEST,A0009,718100.39,6244970.04
NARBONNE EST,A0009,702805.45,6230817.98
NARBONNE SUD,A0009,699501.6,6229314.31
SIGEAN,A0009,696140.27,6214881.66
LEUCATE,A0009,697537.93,6204410.15
PERPIGNAN NORD                          ,A0009,691401.67,6187036.7
PERPIGNAN SUD,A0009,688620.02,6173846.38
LE PERTHUS-LE BOULOU,A0009,685299.16,6158693.15
BOULOU (FERMe),A0009,685180.64,6158400.99
LE BOULOU (OUVERT),A0009,685180.64,6158400.99
TOULOUSE SUD-EST (SORTIE ),A0061,578747.36,6273020.93
TOULOUSE SUD-OUEST (SORTIE),A0061,578747.36,6273020.93
VILLEFRANCHE DE LAURAGAIS,A0061,594090.95,6256091.33
CASTELNAUDARY,A0061,614329.79,6243821.23
BRAM,A0061,626636.36,6237885.51
CARCASSONNE OUEST,A0061,643340.69,6233100.55
CARCASSONNE EST,A0061,652815.19,6232993.93
LEZIGNAN,A0061,678997.89,6229996.53
TOULOUSE SUD-EST (ENTREE),A0061,578773.93,6273011.7
TOULOUSE SUD-OUEST (ENTREE),A0061,578773.93,6273011.7
ST SELVE,A0062,426233.04,6401541.21
PODENSAC,A0062,432677.73,6395197.51
LANGON                                  ,A0062,440636.06,6388016.76
LA REOLE,A0062,457929.16,6383373.42
MARMANDE,A0062,472010.94,6374290.53
AIGUILLON,A0062,482069.79,6357371.83
AGEN,A0062,508391.94,6343273.91
VALENCE D'AGEN,A0062,528785.55,6331548.8
CASTELSARRASIN,A0062,547480.81,6330055.01
MONTAUBAN,A0062,564260.75,6315715.74
EUROCENTRE,A0062,569964.38,6297741.32
SAINT JORY,A0062,571199.86,6292110.9
TOULOUSE NORD-EST (ENTREE),A0062,573039.48,6285661.95
TOULOUSE NORD-OUEST (ENTREE),A0062,573039.48,6285661.95
TOULOUSE NORD-EST (SORTIE),A0062,573112.97,6285687.71
TOULOUSE NORD-OUEST (SORTIE),A0062,573112.97,6285687.71
VIADUC DE MILLAU,A0075,701691.11,6332362.43
BEZIERS CABRIALS (SORTIE),A0075,723411.72,6249388.51
BEZIERS CABRIALS (ENTReE),A0075,723134.19,6249598.97
